segment_id,BEAS-2B half life (h),BEAS-2B log2 steady state mRNA,Jurkat log2 steady state mRNA,WiDr log2 steady state mRNA
CN1_000494,nd,0.662,0.138,1.373
CN1_000495,2.49,0.100,0.007,0.143
CN1_000496,2.52,0.252,1.074,1.843
CN1_000497,2.46,0.110,-0.577,-1.375
CN1_000498,nd,0.421,0.268,0.898
CN1_000499,1.99,nd,,
CN1_000500,2.25,-0.359,0.344,0.090
CN1_000501,2.37,0.057,-0.341,-0.405
CN1_000502,2.77,-0.255,-0.834,-1.701
CN1_000503,nd,0.721,0.674,1.001
CN1_000504,2.25,0.072,-0.148,-0.014
CN1_000505,nd,-0.248,-0.396,-0.860
CN1_000507,2.81,0.037,0.342,0.534
CN1_000508,nd,-0.025,0.069,0.479
CN1_000509,2.12,0.175,0.069,-0.133
CN1_000510,2.66,0.407,0.381,0.359
CN1_000511,2.99,-0.156,0.153,0.480
CN1_000512,2.27,0.059,0.587,0.908
CN1_000513,nd,-0.028,nd,3.335
CN1_000514,2.21,0.044,-0.161,-0.471
CN1_000515,3.21,0.412,-0.811,-0.149
CN1_000516,1.62,-0.925,-0.577,-2.077
CN1_000517,2.96,0.251,0.097,-0.355
CN1_000518,2.06,-0.306,-0.412,-0.060
CN1_000519,3.21,0.148,-0.059,0.375
CN1_000520,3.21,0.287,0.793,1.329
CN1_000521,2.75,-1.687,-1.465,-0.435
CN1_000522,3.03,0.113,0.216,0.703
CN1_000523,2.11,-1.454,-2.109,-2.990
CN1_000524,2.59,-0.136,-0.211,-0.725
CN1_000525,nd,-0.281,0.796,1.583
CN1_000526,2.87,0.437,0.074,0.382
CN1_000527,2.70,-0.809,0.125,-0.981
CN1_000528,2.72,0.035,-0.122,0.432
CN1_000529,2.59,0.039,-0.067,-0.080
CN1_000530,nd,-0.172,0.210,0.619
CN1_000531,nd,0.319,-0.108,0.385
CN1_000532,nd,0.519,0.578,1.011
CN1_000533,nd,0.230,0.268,0.446
CN1_000534,2.80,-0.085,-0.574,-0.089
CN1_000535,nd,-0.142,0.452,1.175
CN1_000536,nd,0.417,0.091,0.664
CN1_000537,nd,0.139,0.133,0.227
CN1_000538,nd,0.622,0.440,0.494
CN1_000539,3.02,0.349,0.262,0.490
CN1_000540,2.36,-0.023,-0.456,-0.186
CN1_000541,3.86,-2.924,-3.386,-4.114
CN1_000542,2.55,-1.132,-1.061,-1.494
CN1_000543,2.26,nd,nd,nd
CN1_000544,nd,nd,nd,nd
CN1_000545,2.97,-0.354,-0.134,0.502
CN1_000546,2.18,-0.194,-0.092,-0.397
CN1_000547,2.43,0.263,-0.298,-0.781
CN1_000548,2.26,0.096,-0.449,-0.220
CN1_000549,2.08,-0.219,-0.718,-1.683
CN1_000550,1.92,-0.850,-1.332,-2.259
CN1_000551,1.54,-0.753,-0.295,-0.947
CN1_000552,1.81,-0.445,-0.807,-1.616
CN1_000553,nd,-0.566,0.439,0.162
CN1_000554,nd,-0.612,nd,2.679
CN1_000555,nd,0.143,0.448,0.757
CN1_000556,nd,0.085,0.405,1.841
CN1_000557,2.77,0.482,0.167,-0.258
CN1_000558,nd,-0.009,nd,nd
CN1_000559,2.26,0.084,-0.129,-0.403
CN1_000560,2.46,-0.087,0.219,0.557
CN1_000561,2.24,nd,-0.251,-1.418
CN1_000562,2.62,0.104,0.213,-0.057
CN1_000563,2.53,0.352,-0.521,-0.480
CN1_000564,2.19,-0.146,-0.472,-0.288
CN1_000565,nd,nd,nd,nd
CN1_000566,nd,-0.539,1.454,1.381
CN1_000567,2.98,-1.574,-1.648,-1.414
CN1_000568,3.03,0.379,0.429,0.383
CN1_000569,2.84,0.324,0.550,0.383
CN1_000570,2.77,0.508,0.599,1.051
CN1_000571,3.40,0.071,-0.221,0.179
CN1_000572,1.84,0.036,-0.033,-0.241
CN1_000573,3.17,0.590,1.036,1.437
CN1_000574,2.12,-0.107,-0.578,-0.782
CN1_000575,1.78,-0.830,-0.786,-0.779
CN1_000576,2.29,0.054,-0.308,-0.165
CN1_000577,3.08,0.496,0.627,1.015
CN1_000579,2.08,-0.159,-0.340,-0.012
CN1_000580,nd,nd,nd,nd
CN1_000581,3.00,-1.959,-1.510,-1.840
